,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2023-04-29 22:16:05.092,0.0,1.376597,0.67526406,0.0,0.0,0.98165166,0.6880762,0.0,0.0,0.8570815,0.6920295,0.0,0.0,0.23527949,-0.092033274,0.0,0.0,-0.5841534,-0.5290448,0.0
2023-04-29 22:16:05.192,0.0,1.3645934,0.50127554,0.0,0.0,0.93776494,0.45273876,0.0,0.0,0.85145056,0.5635154,0.0,0.0,0.2354623,-0.11848991,0.0,0.0,-0.5454955,-0.50105536,0.0
2023-04-29 22:16:05.292,0.0,1.3667755,0.42766425,0.0,0.0,0.90610135,0.3275897,0.0,0.0,0.84544665,0.4809338,0.0,0.0,0.23475917,-0.11513961,0.0,0.0,-0.5266328,-0.4862222,0.0
2023-04-29 22:16:05.392,0.0,1.3901776,0.38698184,0.0,0.0,0.88857186,0.26800594,0.0,0.0,0.8444984,0.45160142,0.0,0.0,0.23388612,-0.099494494,0.0,0.0,-0.51468897,-0.47400448,0.0
2023-04-29 22:16:05.492,0.0,1.4173154,0.3636447,0.0,0.0,0.87679905,0.2638504,0.0,0.0,0.843747,0.4185286,0.0,0.0,0.21808,-0.08281294,0.0,0.0,-0.5216597,-0.46439552,0.0
2023-04-29 22:16:05.592,0.0,1.4180695,0.3439253,0.0,0.0,0.84476393,0.27131432,0.0,0.0,0.8274693,0.41341215,0.0,0.0,0.16798261,-0.07376386,0.0,0.0,-0.5590002,-0.45457885,0.0
2023-04-29 22:16:05.692,0.0,1.3883827,0.3252248,0.0,0.0,0.7798013,0.27057394,0.0,0.0,0.76624,0.41341215,0.0,0.0,0.07286426,-0.072199084,0.0,0.0,-0.6268104,-0.4415103,0.0
2023-04-29 22:16:05.792,0.0,1.2539805,0.2957475,0.0,0.0,0.58282095,0.26364687,0.0,0.0,0.61001104,0.41569299,0.0,0.0,-0.087606624,-0.07641637,0.0,0.0,-0.5644905,-0.42662627,0.0
2023-04-29 22:16:05.892,0.0,1.1143363,0.25839326,0.0,0.0,0.41136685,0.25510046,0.0,0.0,0.5566433,0.42074034,0.0,0.0,-0.21949369,-0.08804878,0.0,0.0,-0.47148702,-0.4132138,0.0
2023-04-29 22:16:05.992,0.0,1.029506,0.2288404,0.0,0.0,0.33316922,0.24561541,0.0,0.0,0.5316597,0.42074034,0.0,0.0,-0.31027663,-0.108331606,0.0,0.0,-0.39102057,-0.40384844,0.0
2023-04-29 22:16:06.092,0.0,0.9691959,0.22498666,0.0,0.0,0.26369375,0.23540309,0.0,0.0,0.53287554,0.42074034,0.0,0.0,-0.337969,-0.13363667,0.0,0.0,-0.39712518,-0.39953333,0.0
2023-04-29 22:16:06.192,0.0,0.91530967,0.22993886,0.0,0.0,0.22657381,0.22596595,0.0,0.0,0.5338246,0.42074034,0.0,0.0,-0.35670102,-0.15564975,0.0,0.0,-0.41353866,-0.4001854,0.0
2023-04-29 22:16:06.292,0.0,0.8626932,0.22512406,0.0,0.0,0.21308893,0.21562436,0.0,0.0,0.533846,0.42074034,0.0,0.0,-0.366777,-0.16687289,0.0,0.0,-0.4335816,-0.40657285,0.0
2023-04-29 22:16:06.392,0.0,0.8626932,0.22512406,0.0,0.0,0.21308893,0.21562436,0.0,0.0,0.533846,0.42074034,0.0,0.0,-0.366777,-0.16687289,0.0,0.0,-0.4335816,-0.40657285,0.0
2023-04-29 22:16:06.492,0.0,0.57548785,0.19865681,0.0,0.0,-0.10677692,0.20172046,0.0,0.0,0.088485636,0.42074034,0.0,0.0,-0.36796376,-0.16231632,0.0,0.0,-0.42418832,-0.42099684,0.0
2023-04-29 22:16:06.592,0.48151302,0.51516503,0.08933321,0.0,-0.12852855,0.023777433,0.16600321,0.0,0.06784134,0.17740512,0.4255634,0.0,0.09777222,-0.30431786,-0.10679777,0.0,-0.2018413,-0.46128127,-0.4683396,0.0
2023-04-29 22:16:06.692,0.4431783,0.495866,0.011159334,0.0,-0.138965,0.05156082,0.13934243,0.0,0.06784134,0.18799245,0.42569274,0.0,0.08383777,-0.27470812,-0.078635305,0.0,-0.18560897,-0.47244734,-0.49138707,0.0
2023-04-29 22:16:06.792,0.4431783,0.47567064,-0.058438912,0.0,-0.138965,0.060727343,0.09962912,0.0,0.06784134,0.1911237,0.4013977,0.0,0.08383777,-0.2593907,-0.066575006,0.0,-0.18560897,-0.48027167,-0.51099217,0.0
2023-04-29 22:16:06.892,0.4431783,0.45234233,-0.08056109,0.0,-0.138965,0.06309159,0.06520307,0.0,0.06784134,0.1929141,0.31731206,0.0,0.08383777,-0.25159523,-0.069380745,0.0,-0.18560897,-0.48809302,-0.5303165,0.0
2023-04-29 22:16:06.992,0.4431783,0.45234233,-0.08056109,0.0,-0.138965,0.06309159,0.06520307,0.0,0.06784134,0.1929141,0.31731206,0.0,0.08383777,-0.25159523,-0.069380745,0.0,-0.18560897,-0.48809302,-0.5303165,0.0
2023-04-29 22:16:07.092,0.4431783,0.43658972,-0.010320957,0.0,-0.138965,0.07251242,0.09715337,0.0,0.06784134,0.21209921,0.41909033,0.0,0.08383777,-0.23811227,-0.072348766,0.0,-0.18560897,-0.49766645,-0.549079,0.0
2023-04-29 22:16:07.192,0.4431783,0.4425275,0.12034264,0.0,-0.138965,0.090869725,0.21505949,0.0,0.06784134,0.2719532,0.7548299,0.0,0.08383777,-0.21578349,-0.06397699,0.0,-0.18560897,-0.5089931,-0.56328523,0.0
2023-04-29 22:16:07.292,0.4431783,0.4724543,0.24558544,0.0,-0.138965,0.11076306,0.35293347,0.0,0.06784134,0.33322647,0.91696477,0.0,0.08383777,-0.1926226,-0.04703761,0.0,-0.18560897,-0.5210121,-0.5732379,0.0
2023-04-29 22:16:07.392,0.4431783,0.4974502,0.4134657,0.0,-0.138965,0.17315604,0.50579447,0.0,0.06784134,0.38396725,0.936994,0.0,0.08383777,-0.14422828,-0.024575619,0.0,-0.18560897,-0.5810312,-0.5900111,0.0
