,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2023-04-29 00:47:15.818,1.7019204,1.1121309,0.6228516,0.81429213,1.1271154,0.73574805,0.6063113,0.77949,1.2823019,0.5636346,0.3992031,0.47623232,0.7899637,0.28547028,0.16525416,0.5624971,-0.029071575,-0.24394728,-0.39872676,0.27590778
2023-04-29 00:47:15.918,1.7019204,1.0689569,0.6612375,0.81429213,1.1271154,0.74094844,0.5988536,0.77949,1.2823019,0.5682918,0.3858048,0.47623232,0.7899637,0.2525921,0.14859697,0.5624971,-0.029071575,-0.26911688,-0.38493237,0.27590778
2023-04-29 00:47:16.018,1.7019204,1.0355742,0.7043557,0.81429213,1.1271154,0.7428905,0.5773897,0.77949,1.2823019,0.5956511,0.3826318,0.47623232,0.7899637,0.22677813,0.13581418,0.5624971,-0.029071575,-0.30171886,-0.37956363,0.27590778
2023-04-29 00:47:16.118,1.7019204,1.0260758,0.7530159,0.81429213,1.1271154,0.7542605,0.52873737,0.77949,1.2823019,0.6415675,0.43474662,0.47623232,0.7899637,0.19240092,0.112320684,0.5624971,-0.029071575,-0.36408094,-0.38739604,0.27590778
2023-04-29 00:47:16.218,1.7019204,1.0367777,0.7609155,0.81429213,1.1271154,0.75909144,0.506615,0.77949,1.2823019,0.6473057,0.44731578,0.47623232,0.7899637,0.17673966,0.10225414,0.5624971,-0.029071575,-0.38725153,-0.3897612,0.27590778
2023-04-29 00:47:16.318,1.7019204,1.0424712,0.76500773,0.81429213,1.1271154,0.756248,0.4853134,0.77949,1.2823019,0.64981705,0.44731578,0.47623232,0.7899637,0.16055322,0.09425105,0.5624971,-0.029071575,-0.40143776,-0.38560894,0.27590778
2023-04-29 00:47:16.418,1.7019204,1.0466546,0.7664756,0.81429213,1.1271154,0.745296,0.46612534,0.77949,1.2823019,0.64981705,0.45008263,0.47623232,0.7899637,0.14613982,0.08746932,0.5624971,-0.029071575,-0.4083141,-0.37457022,0.27590778
2023-04-29 00:47:16.518,1.7019204,1.0636852,0.7667481,0.81429213,1.1271154,0.73004764,0.4543153,0.77949,1.2823019,0.64981705,0.4525612,0.47623232,0.7899637,0.13420144,0.08433282,0.5624971,-0.029071575,-0.41123903,-0.35551703,0.27590778
2023-04-29 00:47:16.618,1.7019204,1.0636852,0.7759258,0.81429213,1.1271154,0.73004764,0.46123037,0.77949,1.2823019,0.64981705,0.45515177,0.47623232,0.7899637,0.13420144,0.08670903,0.5624971,-0.029071575,-0.41123903,-0.3290315,0.27590778
2023-04-29 00:47:16.718,1.7019204,1.0466429,0.82288516,0.81429213,1.1271154,0.7354224,0.5255849,0.77949,1.2823019,0.61661476,0.51973397,0.47623232,0.7899637,0.12046147,0.120159574,0.5624971,-0.029071575,-0.40784505,-0.3007775,0.27590778
2023-04-29 00:47:16.818,1.7019204,1.0331941,0.9340068,0.81429213,1.1271154,0.73741996,0.672651,0.77949,1.2823019,0.6049699,0.7630011,0.47623232,0.7899637,0.096616045,0.20370324,0.5624971,-0.029071575,-0.41212353,-0.27972797,0.27590778
2023-04-29 00:47:16.918,1.7019204,1.0146687,1.07872,0.81429213,1.1271154,0.7376307,0.84498334,0.77949,1.2823019,0.5895708,0.93947333,0.47623232,0.7899637,0.06136134,0.31401908,0.5624971,-0.029071575,-0.4362797,-0.27256504,0.27590778
2023-04-29 00:47:17.018,1.7019204,0.9989392,1.0871228,0.81429213,1.1271154,0.736341,0.848558,0.77949,1.2823019,0.5789677,0.93947333,0.47623232,0.7899637,0.019992756,0.3225312,0.5624971,-0.029071575,-0.48512676,-0.2678169,0.27590778
2023-04-29 00:47:17.118,1.7019204,1.0006015,1.0877386,0.81429213,1.1271154,0.7324282,0.85105836,0.77949,1.2823019,0.55954754,0.93947333,0.47623232,0.7899637,-0.013381587,0.33588445,0.5624971,-0.029071575,-0.54761875,-0.27054822,0.27590778
2023-04-29 00:47:17.218,1.7019204,1.0265267,1.0876346,0.81429213,1.1271154,0.6924962,0.85884917,0.77949,1.2823019,0.5505072,0.93947333,0.47623232,0.7899637,0.015039835,0.3565802,0.5624971,-0.029071575,-0.6000917,-0.27930623,0.27590778
2023-04-29 00:47:17.318,1.7019204,1.0481431,1.0912561,0.81429213,1.1271154,0.6726601,0.87727106,0.77949,1.2823019,0.5163307,0.93947333,0.47623232,0.7899637,0.06020366,0.38228798,0.5624971,-0.029071575,-0.60520226,-0.2885424,0.27590778
2023-04-29 00:47:17.418,1.7019204,1.0781281,1.0981022,0.81429213,1.1271154,0.66098297,0.90558237,0.77949,1.2823019,0.5163307,0.93947333,0.47623232,0.7899637,0.06888918,0.40879482,0.5624971,-0.029071575,-0.600544,-0.29125172,0.27590778
2023-04-29 00:47:17.518,1.7019204,1.0781281,1.0981022,0.81429213,1.1271154,0.66098297,0.90558237,0.77949,1.2823019,0.5163307,0.93947333,0.47623232,0.7899637,0.06888918,0.40879482,0.5624971,-0.029071575,-0.600544,-0.29125172,0.27590778
2023-04-29 00:47:17.618,1.7019204,1.1004429,1.1102685,0.81429213,1.1271154,0.6416431,0.9403133,0.77949,1.2823019,0.51077574,0.93947333,0.47623232,0.7899637,0.07557678,0.43458158,0.5624971,-0.029071575,-0.5817507,-0.28304926,0.27590778
2023-04-29 00:47:17.718,1.7019204,1.0995103,1.1770564,0.81429213,1.1271154,0.5499995,1.032218,0.77949,1.2823019,0.47192758,0.93947333,0.47623232,0.7899637,0.102848604,0.48994517,0.5624971,-0.029071575,-0.5254861,-0.24686778,0.27590778
2023-04-29 00:47:17.818,1.7019204,1.099233,1.2325509,0.81429213,1.1271154,0.49303848,1.0942177,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.52639943,0.5624971,-0.029071575,-0.50893354,-0.22999889,0.27590778
2023-04-29 00:47:17.918,1.7019204,1.099233,1.2325509,0.81429213,1.1271154,0.49303848,1.0942177,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.52639943,0.5624971,-0.029071575,-0.50893354,-0.22999889,0.27590778
2023-04-29 00:47:18.018,1.7019204,1.099233,1.3044522,0.81429213,1.1271154,0.49303848,1.1708187,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.57587487,0.5624971,-0.029071575,-0.50893354,-0.21666199,0.27590778
2023-04-29 00:47:18.118,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:18.218,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:18.318,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:18.418,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:18.518,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:18.618,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:18.718,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:18.818,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:18.918,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:19.018,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:19.118,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:19.218,1.7019204,1.099233,1.395898,0.81429213,1.1271154,0.49303848,1.2637355,0.77949,1.2823019,0.41386598,0.93947333,0.47623232,0.7899637,0.13777469,0.6426815,0.5624971,-0.029071575,-0.50893354,-0.21173762,0.27590778
2023-04-29 00:47:19.318,1.7019204,1.099233,1.5205733,0.81429213,1.1271154,0.49303848,0.5982,0.77949,1.2823019,0.41386598,0.59082067,0.47623232,0.7899637,0.13777469,0.18863124,0.5624971,-0.029071575,-0.50893354,-0.41663545,0.27590778
2023-04-29 00:47:19.418,1.7019204,1.099233,1.4632813,0.81429213,1.1271154,0.49303848,0.52391034,0.77949,1.2823019,0.41386598,0.59082067,0.47623232,0.7899637,0.13777469,0.14247192,0.5624971,-0.029071575,-0.50893354,-0.43473172,0.27590778
2023-04-29 00:47:19.518,1.7019204,1.099233,1.4165521,0.81429213,1.1271154,0.49303848,0.4636638,0.77949,1.2823019,0.41386598,0.59082067,0.47623232,0.7899637,0.13777469,0.11129727,0.5624971,-0.029071575,-0.50893354,-0.4454067,0.27590778
2023-04-29 00:47:19.618,1.7019204,1.099233,1.3721547,0.81429213,1.1271154,0.49303848,0.4141925,0.77949,1.2823019,0.41386598,0.592332,0.47623232,0.7899637,0.13777469,0.090943396,0.5624971,-0.029071575,-0.50893354,-0.45850828,0.27590778
2023-04-29 00:47:19.718,1.7019204,1.099233,1.325204,0.81429213,1.1271154,0.49303848,0.37245685,0.77949,1.2823019,0.41386598,0.5945128,0.47623232,0.7899637,0.13777469,0.08091894,0.5624971,-0.029071575,-0.50893354,-0.47141978,0.27590778
2023-04-29 00:47:19.818,1.7019204,1.099233,1.2881752,0.81429213,1.1271154,0.49303848,0.33863515,0.77949,1.2823019,0.41386598,0.6065171,0.47623232,0.7899637,0.13777469,0.080522515,0.5624971,-0.029071575,-0.50893354,-0.47688347,0.27590778
2023-04-29 00:47:19.918,1.7019204,1.099233,1.1959697,0.81429213,1.1271154,0.49303848,0.19426224,0.77949,1.2823019,0.41386598,0.6017019,0.47623232,0.7899637,0.13777469,0.035024423,0.5624971,-0.029071575,-0.50893354,-0.5056374,0.27590778
2023-04-29 00:47:20.018,1.7019204,1.099233,1.0809367,0.81429213,1.1271154,0.49303848,-0.0065063746,0.77949,1.2823019,0.41386598,0.097992785,0.47623232,0.7899637,0.13777469,-0.01739395,0.5624971,-0.029071575,-0.50893354,-0.5282111,0.27590778
2023-04-29 00:47:20.118,1.7019204,1.099233,1.1160623,0.81429213,1.1271154,0.49303848,0.077797286,0.77949,1.2823019,0.41386598,0.22366302,0.47623232,0.7899637,0.13777469,-0.02349934,0.5624971,-0.029071575,-0.50893354,-0.50930727,0.27590778
2023-04-29 00:47:20.218,1.7019204,1.099233,1.1160623,0.81429213,1.1271154,0.49303848,0.077797286,0.77949,1.2823019,0.41386598,0.22366302,0.47623232,0.7899637,0.13777469,-0.02349934,0.5624971,-0.029071575,-0.50893354,-0.50930727,0.27590778
2023-04-29 00:47:20.318,1.7019204,1.099233,1.1064427,0.81429213,1.1271154,0.49303848,0.1037239,0.77949,1.2823019,0.41386598,0.23709834,0.47623232,0.7899637,0.13777469,-0.025581945,0.5624971,-0.029071575,-0.50893354,-0.50969064,0.27590778
2023-04-29 00:47:20.418,1.7019204,1.099233,1.0898817,0.81429213,1.1271154,0.49303848,0.11980037,0.77949,1.2823019,0.41386598,0.2449088,0.47623232,0.7899637,0.13777469,-0.023002816,0.5624971,-0.029071575,-0.50893354,-0.51223576,0.27590778
2023-04-29 00:47:20.518,1.7019204,1.099233,1.0722522,0.81429213,1.1271154,0.49303848,0.1335353,0.77949,1.2823019,0.41386598,0.2537944,0.47623232,0.7899637,0.13777469,-0.01971129,0.5624971,-0.029071575,-0.50893354,-0.5150383,0.27590778
2023-04-29 00:47:20.618,1.7019204,1.099233,1.0534748,0.81429213,1.1271154,0.49303848,0.14595518,0.77949,1.2823019,0.41386598,0.2896221,0.47623232,0.7899637,0.13777469,-0.019645235,0.5624971,-0.029071575,-0.50893354,-0.51846606,0.27590778
2023-04-29 00:47:20.718,1.7019204,1.099233,1.0148293,0.81429213,1.1271154,0.49303848,0.15234905,0.77949,1.2823019,0.41386598,0.28971905,0.47623232,0.7899637,0.13777469,-0.018260557,0.5624971,-0.029071575,-0.50893354,-0.514058,0.27590778
2023-04-29 00:47:20.818,1.7019204,1.099233,0.9821633,0.81429213,1.1271154,0.49303848,0.15438594,0.77949,1.2823019,0.41386598,0.30924645,0.47623232,0.7899637,0.13777469,-0.019294456,0.5624971,-0.029071575,-0.50893354,-0.51943314,0.27590778
2023-04-29 00:47:20.918,1.7019204,1.099233,0.96592814,0.81429213,1.1271154,0.49303848,0.15415694,0.77949,1.2823019,0.41386598,0.32828107,0.47623232,0.7899637,0.13777469,-0.019484978,0.5624971,-0.029071575,-0.50893354,-0.53333193,0.27590778
2023-04-29 00:47:21.018,1.7019204,0.993483,0.9710505,0.7790649,1.1271154,0.79533726,0.15761013,0.3217545,1.2823019,0.7249187,0.33941388,0.66648495,0.7899637,0.4005683,-0.015784577,0.7057481,-0.029071575,-0.06876547,-0.54931074,0.42821828
2023-04-29 00:47:21.118,1.7019204,0.986827,0.9943723,0.9165319,1.1271154,0.8214688,0.17427765,0.5133828,1.2823019,0.82051486,0.35851532,0.7432127,0.7899637,0.47536695,-0.0043995683,0.6653315,-0.029071575,-0.04365309,-0.56175154,0.42905182
2023-04-29 00:47:21.218,1.7019204,1.0032182,1.0261941,0.9165319,1.1271154,0.83867735,0.21794721,0.5133828,1.2823019,0.83219594,0.40622994,0.7432127,0.7899637,0.51310354,0.009405579,0.6653315,-0.029071575,-0.03964683,-0.57116205,0.42905182
2023-04-29 00:47:21.318,1.7019204,1.0032182,1.0476912,0.9165319,1.1271154,0.83867735,0.27876535,0.5133828,1.2823019,0.83219594,0.49605,0.7432127,0.7899637,0.51310354,0.016146755,0.6653315,-0.029071575,-0.03964683,-0.5844129,0.42905182
2023-04-29 00:47:21.418,1.7019204,1.0032182,1.0438166,0.9165319,1.1271154,0.83867735,0.33882847,0.5133828,1.2823019,0.83219594,0.57122874,0.7432127,0.7899637,0.51310354,0.014372829,0.6653315,-0.029071575,-0.03964683,-0.6033226,0.42905182
2023-04-29 00:47:21.518,1.7019204,1.0032182,1.0158703,0.9165319,1.1271154,0.83867735,0.38540414,0.5133828,1.2823019,0.83219594,0.63441193,0.7432127,0.7899637,0.51310354,0.01547133,0.6653315,-0.029071575,-0.03964683,-0.62036884,0.42905182
2023-04-29 00:47:21.618,1.7019204,1.0032182,0.9781077,0.9165319,1.1271154,0.83867735,0.42038104,0.5133828,1.2823019,0.83219594,0.70721173,0.7432127,0.7899637,0.51310354,0.0362445,0.6653315,-0.029071575,-0.03964683,-0.6147026,0.42905182
2023-04-29 00:47:21.718,1.7019204,1.0032182,0.9596986,0.9165319,1.1271154,0.83867735,0.4573502,0.5133828,1.2823019,0.83219594,0.7810903,0.7432127,0.7899637,0.51310354,0.07641345,0.6653315,-0.029071575,-0.03964683,-0.5731779,0.42905182
2023-04-29 00:47:21.818,1.7019204,1.0032182,0.9675909,0.9165319,1.1271154,0.83867735,0.5051,0.5133828,1.2823019,0.83219594,0.86183125,0.7432127,0.7899637,0.51310354,0.120612875,0.6653315,-0.029071575,-0.03964683,-0.50898963,0.42905182
2023-04-29 00:47:21.918,1.7019204,1.0032182,0.9765835,0.9165319,1.1271154,0.83867735,0.5175938,0.5133828,1.2823019,0.83219594,0.86183125,0.7432127,0.7899637,0.51310354,0.12770572,0.6653315,-0.029071575,-0.03964683,-0.5065936,0.42905182
2023-04-29 00:47:22.018,1.7019204,1.0032182,0.99054986,0.9165319,1.1271154,0.83867735,0.5313987,0.5133828,1.2823019,0.83219594,0.86183125,0.7432127,0.7899637,0.51310354,0.13492577,0.6653315,-0.029071575,-0.03964683,-0.5032061,0.42905182
2023-04-29 00:47:22.118,1.7019204,1.0032182,1.0103278,0.9165319,1.1271154,0.83867735,0.54654306,0.5133828,1.2823019,0.83219594,0.86183125,0.7432127,0.7899637,0.51310354,0.14557812,0.6653315,-0.029071575,-0.03964683,-0.49811026,0.42905182
2023-04-29 00:47:22.218,1.7019204,0.95769066,1.0343003,0.98778784,1.1271154,0.8551253,0.56626236,0.5801093,1.2823019,0.83219594,0.8615937,0.7432127,0.7899637,0.55405825,0.16107574,0.62993807,-0.029071575,-0.018400358,-0.48817483,0.44568563
2023-04-29 00:47:22.318,1.7019204,0.93643427,1.0573922,0.98778784,1.1271154,0.8747321,0.59437966,0.5801093,1.2823019,0.83219594,0.86039513,0.7432127,0.7899637,0.6042255,0.18196778,0.62993807,-0.029071575,0.0015681536,-0.4708349,0.44568563
2023-04-29 00:47:22.418,1.7019204,0.93643427,1.0740954,0.98778784,1.1271154,0.8747321,0.630792,0.5801093,1.2823019,0.83219594,0.8593364,0.7432127,0.7899637,0.6042255,0.20547786,0.62993807,-0.029071575,0.0015681536,-0.44640884,0.44568563
2023-04-29 00:47:22.518,1.7019204,0.93643427,1.0692255,0.98778784,1.1271154,0.8747321,0.67148507,0.5801093,1.2823019,0.83219594,0.8513995,0.7432127,0.7899637,0.6042255,0.22759974,0.62993807,-0.029071575,0.0015681536,-0.4167222,0.44568563
2023-04-29 00:47:22.618,1.7019204,0.93643427,1.0455389,0.98778784,1.1271154,0.8747321,0.7110457,0.5801093,1.2823019,0.83219594,0.84434956,0.7432127,0.7899637,0.6042255,0.24299827,0.62993807,-0.029071575,0.0015681536,-0.38267925,0.44568563
2023-04-29 00:47:22.718,1.7019204,0.93643427,1.0158871,0.98778784,1.1271154,0.8747321,0.73935795,0.5801093,1.2823019,0.83219594,0.84187394,0.7432127,0.7899637,0.6042255,0.2537179,0.62993807,-0.029071575,0.0015681536,-0.3432722,0.44568563
2023-04-29 00:47:22.818,1.7019204,0.93643427,0.98729956,0.98778784,1.1271154,0.8747321,0.75483036,0.5801093,1.2823019,0.83219594,0.84187394,0.7432127,0.7899637,0.6042255,0.2707583,0.62993807,-0.029071575,0.0015681536,-0.2935888,0.44568563
2023-04-29 00:47:22.918,1.7019204,0.93643427,0.97123814,0.98778784,1.1271154,0.8747321,0.7636526,0.5801093,1.2823019,0.83219594,0.84187394,0.7432127,0.7899637,0.6042255,0.30723852,0.62993807,-0.029071575,0.0015681536,-0.23076837,0.44568563
2023-04-29 00:47:23.018,1.7019204,0.93643427,0.97399753,0.98778784,1.1271154,0.8747321,0.72459626,0.5801093,1.2823019,0.83219594,0.8485432,0.7432127,0.7899637,0.6042255,0.28418225,0.62993807,-0.029071575,0.0015681536,-0.23364457,0.44568563
2023-04-29 00:47:23.118,1.7019204,0.93643427,1.0263277,0.98778784,1.1271154,0.8747321,0.6739907,0.5801093,1.2823019,0.83219594,0.8485432,0.7432127,0.7899637,0.6042255,0.22868507,0.62993807,-0.029071575,0.0015681536,-0.26424623,0.44568563
2023-04-29 00:47:23.218,1.7019204,0.93643427,1.0652927,0.98778784,1.1271154,0.8747321,0.5943244,0.5801093,1.2823019,0.83219594,0.8319569,0.7432127,0.7899637,0.6042255,0.124090396,0.62993807,-0.029071575,0.0015681536,-0.3521483,0.44568563
2023-04-29 00:47:23.318,1.7019204,0.93643427,1.0545591,0.62584656,1.1271154,0.8747321,0.46058533,0.6714633,1.2823019,0.83219594,0.27207467,0.7553485,0.7899637,0.6042255,-0.025197828,0.59483814,-0.029071575,0.0015681536,-0.5347871,0.25539666
2023-04-29 00:47:23.418,1.7019204,0.93643427,1.0545591,0.62584656,1.1271154,0.8747321,0.46058533,0.6714633,1.2823019,0.83219594,0.27207467,0.7553485,0.7899637,0.6042255,-0.025197828,0.59483814,-0.029071575,0.0015681536,-0.5347871,0.25539666
2023-04-29 00:47:23.518,0.7375771,0.9982906,1.0594585,0.5721582,0.95793587,0.67762464,0.5270545,0.8363283,1.0827127,0.46246782,0.34811237,0.76420105,0.79914814,0.17099379,0.06807504,0.60841554,0.09459959,-0.48201638,-0.5244942,0.22924186
2023-04-29 00:47:23.618,0.81151026,0.9982906,1.1128889,0.627224,0.94675624,0.67762464,0.55916035,0.8442723,1.0827127,0.46246782,0.38369367,0.76772505,0.79691505,0.17099379,0.11349598,0.62452185,0.090691425,-0.48201638,-0.51914614,0.24193065
2023-04-29 00:47:23.718,0.9195684,0.9982906,1.1128889,0.7270349,0.9106547,0.67762464,0.55916035,0.82366174,1.0827127,0.46246782,0.38369367,0.77576834,0.80216324,0.17099379,0.11349598,0.6412921,0.09214674,-0.48201638,-0.51914614,0.25905168
2023-04-29 00:47:23.818,1.0020084,0.9982906,1.1128889,0.81760234,0.8672546,0.67762464,0.55916035,0.7908251,1.0827127,0.46246782,0.38369367,0.7955295,0.8129551,0.17099379,0.11349598,0.6557126,0.09726724,-0.48201638,-0.51914614,0.27696085
2023-04-29 00:47:23.918,1.0458689,0.9982906,1.1128889,0.8758694,0.8254757,0.67762464,0.55916035,0.7555873,1.0827127,0.46246782,0.38369367,0.80483836,0.81982225,0.17099379,0.11349598,0.66749203,0.10574565,-0.48201638,-0.51914614,0.29525033
2023-04-29 00:47:24.018,1.0524007,0.9982906,1.1128889,0.8946398,0.78686726,0.67762464,0.55916035,0.72086775,1.0827127,0.46246782,0.38369367,0.80483836,0.81889683,0.17099379,0.11349598,0.6793178,0.1177682,-0.48201638,-0.51914614,0.31209973
2023-04-29 00:47:24.118,1.0387849,0.9982906,1.1128889,0.8901454,0.7505079,0.67762464,0.55916035,0.68801403,1.0827127,0.46246782,0.38369367,0.80483836,0.8129411,0.17099379,0.11349598,0.69290614,0.13247223,-0.48201638,-0.51914614,0.32355246
2023-04-29 00:47:24.218,1.0387849,0.9982906,1.1128889,0.87595284,0.7505079,0.67762464,0.55916035,0.65857685,1.0827127,0.46246782,0.38369367,0.80483836,0.8129411,0.17099379,0.11349598,0.70583457,0.13247223,-0.48201638,-0.51914614,0.3273666
2023-04-29 00:47:24.318,1.0387849,0.9982906,1.1128889,0.86022335,0.7505079,0.67762464,0.55916035,0.6325346,1.0827127,0.46246782,0.38369367,0.80483836,0.8129411,0.17099379,0.11349598,0.7129352,0.13247223,-0.48201638,-0.51914614,0.32369858
2023-04-29 00:47:24.418,1.0387849,0.9982906,1.1128889,0.8434606,0.7505079,0.67762464,0.55916035,0.61016774,1.0827127,0.46246782,0.38369367,0.80483836,0.8129411,0.17099379,0.11349598,0.7114433,0.13247223,-0.48201638,-0.51914614,0.31478605
2023-04-29 00:47:24.518,1.0276372,0.9982906,1.1336793,0.8277263,0.7192056,0.67762464,0.56591076,0.60404223,1.0827127,0.46246782,0.382637,0.7428513,0.79366004,0.17099379,0.14195721,0.704613,0.13649635,-0.48201638,-0.5045884,0.29737252
2023-04-29 00:47:24.618,1.0328671,1.1487008,1.1439637,0.82741964,0.6988536,0.8358935,0.5862944,0.6036134,1.063212,0.8869654,0.37886202,0.693792,0.78034127,0.44207639,0.17830962,0.69924784,0.13191757,-0.24550436,-0.49504942,0.28423676
2023-04-29 00:47:24.718,1.0430387,1.2676818,1.1494237,0.8327444,0.66911286,0.85883856,0.6213111,0.5849228,1.0440788,0.92999333,0.35899243,0.7284447,0.7575172,0.56864625,0.21595314,0.6972198,0.11891556,-0.09226024,-0.4932156,0.28272003
2023-04-29 00:47:24.818,1.0558081,1.3672829,1.1494237,0.8383204,0.61296886,0.8326928,0.6213111,0.5302904,0.9933845,0.972641,0.35899243,0.7976288,0.72674084,0.6296507,0.21595314,0.6990196,0.104346745,0.015537084,-0.4932156,0.28982407
2023-04-29 00:47:24.918,1.0558081,1.3672829,1.1494237,0.8383204,0.61296886,0.8326928,0.6213111,0.5302904,0.9933845,0.972641,0.35899243,0.7976288,0.72674084,0.6296507,0.21595314,0.6990196,0.104346745,0.015537084,-0.4932156,0.28982407
2023-04-29 00:47:25.018,1.0712478,1.3894466,1.1494237,0.8409312,0.4463076,0.8036408,0.6213111,0.3506165,0.68795246,0.9882788,0.35899243,0.82452494,0.6711179,0.6124603,0.21595314,0.7028406,0.08886949,0.07004032,-0.4932156,0.29681912
2023-04-29 00:47:25.118,1.0800894,1.3654616,1.1494237,0.841081,0.40046915,0.81407183,0.6213111,0.26686975,0.53679925,1.0435108,0.35899243,0.8145269,0.65002906,0.5700747,0.21595314,0.70587176,0.085599154,0.048558448,-0.4932156,0.29660663
2023-04-29 00:47:25.218,1.0800894,1.3654616,1.1494237,0.841081,0.40046915,0.81407183,0.6213111,0.26686975,0.53679925,1.0435108,0.35899243,0.8145269,0.65002906,0.5700747,0.21595314,0.70587176,0.085599154,0.048558448,-0.4932156,0.29660663
2023-04-29 00:47:25.318,1.0555521,1.3450406,1.2709641,0.8108413,0.37804064,0.8301595,0.68113965,0.21821041,0.4858716,1.0739166,0.65224594,0.80354047,0.6289231,0.54436475,0.16399138,0.7028431,0.08419262,0.033018015,-0.28271353,0.29104784
2023-04-29 00:47:25.418,0.96561974,1.3022282,1.3035568,0.965432,0.40815488,0.8485808,0.68145233,0.5763959,0.44290048,1.1117135,0.7219027,0.9265142,0.5475973,0.5480053,0.16557613,0.684117,0.06804276,0.032078847,-0.2931446,0.23231657
2023-04-29 00:47:25.518,1.0529481,1.2993304,1.3035568,1.0643188,0.54455537,0.87329966,0.68145233,0.68739825,0.6655818,1.1229029,0.7219027,0.91835237,0.5210069,0.5611544,0.16557613,0.6638614,0.020634402,0.038196422,-0.2931446,0.19396259
2023-04-29 00:47:25.618,1.0529481,1.2993304,1.3035568,1.0643188,0.54455537,0.87329966,0.68145233,0.68739825,0.6655818,1.1229029,0.7219027,0.91835237,0.5210069,0.5611544,0.16557613,0.6638614,0.020634402,0.038196422,-0.2931446,0.19396259
