,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2023-04-29 22:21:37.694,0.09213318,1.0725294,0.83047426,0.16457634,-0.11805479,0.8447682,0.27424,0.1631177,0.17235993,0.7456976,0.20229547,0.4121563,0.20148334,0.04675701,-0.08420322,0.7139737,-0.2801292,-0.38717297,-0.44689232,0.77422017
2023-04-29 22:21:37.794,0.09213318,1.0749661,0.8162234,0.16457634,-0.11805479,0.8400271,0.22653086,0.1631177,0.17235993,0.73325866,0.22085448,0.4121563,0.20148334,0.024629438,-0.07040015,0.7139737,-0.2801292,-0.3819925,-0.4505131,0.77422017
2023-04-29 22:21:37.894,0.09213318,1.0782043,0.8023127,0.16457634,-0.11805479,0.8409259,0.19175762,0.1631177,0.17235993,0.71727604,0.205215,0.4121563,0.20148334,-8.842557e-05,-0.05765611,0.7139737,-0.2801292,-0.37391254,-0.450612,0.77422017
2023-04-29 22:21:37.994,0.09213318,1.091927,0.80578744,0.16457634,-0.11805479,0.89987993,0.19553883,0.1631177,0.17235993,0.95261097,0.23077764,0.4121563,0.20148334,0.037969638,-0.046028145,0.7139737,-0.2801292,-0.36945271,-0.45075485,0.77422017
2023-04-29 22:21:38.094,0.09213318,1.1424556,0.8719718,0.16457634,-0.11805479,1.0097507,0.2578944,0.1631177,0.17235993,0.9786894,0.26781377,0.4121563,0.20148334,0.11891857,-0.035343815,0.7139737,-0.2801292,-0.36716294,-0.47094,0.77422017
2023-04-29 22:21:38.194,0.09213318,1.1424556,0.8719718,0.16457634,-0.11805479,1.0097507,0.2578944,0.1631177,0.17235993,0.9786894,0.26781377,0.4121563,0.20148334,0.11891857,-0.035343815,0.7139737,-0.2801292,-0.36716294,-0.47094,0.77422017
2023-04-29 22:21:38.294,0.09213318,1.1567088,0.9047849,0.16457634,-0.11805479,1.0309558,0.2737026,0.1631177,0.17235993,0.9786894,0.26700127,0.4121563,0.20148334,0.14649321,-0.040684927,0.7139737,-0.2801292,-0.37937486,-0.4820217,0.77422017
2023-04-29 22:21:38.394,0.09213318,1.1555523,0.9247459,0.16457634,-0.11805479,1.0375799,0.27755332,0.1631177,0.17235993,0.9786894,0.26527807,0.4121563,0.20148334,0.16891284,-0.049891915,0.7139737,-0.2801292,-0.400308,-0.48212594,0.77422017
2023-04-29 22:21:38.494,0.09213318,1.1403487,0.93293977,0.16457634,-0.11805479,1.0354133,0.2749957,0.1631177,0.17235993,0.9786894,0.2630433,0.4121563,0.20148334,0.18400699,-0.058291513,0.7139737,-0.2801292,-0.42369795,-0.46969435,0.77422017
2023-04-29 22:21:38.594,0.09213318,1.1082207,0.9335646,0.16457634,-0.11805479,1.0194422,0.26767963,0.1631177,0.17235993,0.9786894,0.25967813,0.4121563,0.20148334,0.18762699,-0.06432589,0.7139737,-0.2801292,-0.44122392,-0.4501262,0.77422017
