,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
2023-04-28 22:20:09.583,1.0890567,0.9536304,1.0891217,0.79432297,1.1472589,1.0965236,0.6634373,1.0190281,0.9468921,0.8059655,0.588175,0.8455685,0.8166572,0.30375856,0.19612773,0.62410957,-0.18523853,-0.02845545,-0.19655956,0.24575216
2023-04-28 22:20:09.683,1.0890567,0.9536304,1.1199836,0.79432297,1.1472589,1.0965236,0.6960587,1.0190281,0.9468921,0.8059655,0.588175,0.8455685,0.8166572,0.30375856,0.2028002,0.62410957,-0.18523853,-0.006921712,-0.19045725,0.24575216
2023-04-28 22:20:09.783,1.0890567,0.93672156,1.1462847,0.79432297,1.1472589,1.0965236,0.7306331,1.0190281,0.9468921,0.80200315,0.588175,0.8455685,0.8166572,0.30375856,0.21165231,0.62410957,-0.18523853,0.014612026,-0.18615294,0.24575216
2023-04-28 22:20:09.883,1.0890567,0.93672156,1.1581979,0.79432297,1.1472589,1.0965236,0.7644008,1.0190281,0.9468921,0.80200315,0.588175,0.8455685,0.8166572,0.30375856,0.21840507,0.62410957,-0.18523853,0.014612026,-0.1861544,0.24575216
2023-04-28 22:20:09.983,1.0890567,0.93672156,1.1421523,0.79432297,1.1472589,1.0965236,0.7898205,1.0190281,0.9468921,0.80200315,0.588175,0.8455685,0.8166572,0.30375856,0.21518898,0.62410957,-0.18523853,0.014612026,-0.18983613,0.24575216
2023-04-28 22:20:10.083,1.0890567,0.93672156,1.0947618,0.79432297,1.1472589,1.0965236,0.8013028,1.0190281,0.9468921,0.80200315,0.57452375,0.8455685,0.8166572,0.30375856,0.1986768,0.62410957,-0.18523853,0.014612026,-0.19488938,0.24575216
2023-04-28 22:20:10.183,1.0890567,0.93672156,1.0258646,0.79432297,1.1472589,1.0965236,0.8027772,1.0190281,0.9468921,0.80200315,0.5385524,0.8455685,0.8166572,0.30375856,0.17597449,0.62410957,-0.18523853,0.014612026,-0.19749704,0.24575216
2023-04-28 22:20:10.283,1.0890567,0.93672156,0.9353404,0.79432297,1.1472589,1.0965236,0.7523445,1.0190281,0.9468921,0.80200315,0.4444842,0.8455685,0.8166572,0.30375856,0.19944745,0.62410957,-0.18523853,0.014612026,-0.15026744,0.24575216
2023-04-28 22:20:10.383,1.0890567,0.93672156,0.872156,0.79432297,1.1472589,1.0965236,0.70035905,1.0190281,0.9468921,0.80200315,0.36789212,0.8455685,0.8166572,0.30375856,0.22349744,0.62410957,-0.18523853,0.014612026,-0.10962084,0.24575216
2023-04-28 22:20:10.483,1.0890567,0.93672156,0.82666177,0.79432297,1.1472589,1.0965236,0.635551,1.0190281,0.9468921,0.80200315,0.3183383,0.8455685,0.8166572,0.30375856,0.24550365,0.62410957,-0.18523853,0.014612026,-0.06802066,0.24575216
