,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
58:02.6,0.7016126,0.401714477,0.789616436,0.6318402,0.54901284,0.265473809,0.474699053,-0.022485405,0.12063281,0.353615276,0.457421258,0.30059266,-0.06263476,-0.013079019,0.078718757,0.20989461,-0.12437498,-0.40370398,-0.449525102,0.23813061,1
58:02.7,0.7016126,0.365246056,0.76683969,0.6318402,0.54901284,0.250301304,0.452486431,-0.022485405,0.12063281,0.35359657,0.45333319,0.30059266,-0.06263476,-0.024676408,0.067925222,0.20989461,-0.12437498,-0.416876512,-0.453452376,0.23813061,1
58:02.8,0.7016126,0.35243127,0.717269781,0.6318402,0.54901284,0.227445675,0.411240012,-0.022485405,0.12063281,0.35359657,0.406908091,0.30059266,-0.06263476,-0.026020993,0.041479819,0.20989461,-0.12437498,-0.423802168,-0.454775882,0.23813061,1
58:02.9,0.7016126,0.34852427,0.70088345,0.6318402,0.54901284,0.20970128,0.38388777,-0.022485405,0.12063281,0.35359657,0.39272654,0.30059266,-0.06263476,-0.021931248,0.028106276,0.20989461,-0.12437498,-0.43044704,-0.453142,0.23813061,1
58:03.0,0.7016126,0.349468832,0.684281197,0.6318402,0.54901284,0.19665659,0.352836553,-0.022485405,0.12063281,0.35359657,0.367723566,0.30059266,-0.06263476,-0.01518349,0.020124879,0.20989461,-0.12437498,-0.439132568,-0.450822325,0.23813061,1
58:03.1,0.7016126,0.347157874,0.683283595,0.6318402,0.54901284,0.184822781,0.334532832,-0.022485405,0.12063281,0.35359657,0.312686098,0.30059266,-0.06263476,-0.008334861,0.019392484,0.20989461,-0.12437498,-0.447463661,-0.447108236,0.23813061,1
58:03.2,0.7016126,0.331343401,0.680946023,0.6318402,0.54901284,0.168574393,0.313371101,-0.022485405,0.12063281,0.35359657,0.238064842,0.30059266,-0.06263476,-0.003740416,0.020763131,0.20989461,-0.12437498,-0.451796604,-0.444526522,0.23813061,1
58:03.3,0.7016126,0.315332769,0.671401674,0.6318402,0.54901284,0.144791958,0.294970563,-0.022485405,0.12063281,0.340143414,0.168865869,0.30059266,-0.06263476,-0.004873016,0.026183899,0.20989461,-0.12437498,-0.445621673,-0.441215578,0.23813061,1
58:03.4,0.7016126,0.367878072,0.647298287,0.6318402,0.54901284,0.127737109,0.28524478,-0.022485405,0.12063281,0.378783536,0.115882309,0.30059266,-0.06263476,-0.014386624,0.033994074,0.20989461,-0.12437498,-0.42757995,-0.437431452,0.23813061,1
58:03.5,0.7016126,0.35391527,0.6078247,0.6318402,0.54901284,0.11082196,0.27544862,-0.022485405,0.12063281,0.37631693,0.09093993,0.30059266,-0.06263476,-0.028169086,0.03845764,0.20989461,-0.12437498,-0.4200693,-0.43706396,0.23813061,1
58:03.6,0.7016126,0.358336589,0.555181533,0.6318402,0.54901284,0.093832393,0.251800384,-0.022485405,0.12063281,0.363573502,0.088467894,0.30059266,-0.06263476,-0.058975488,0.037107981,0.20989461,-0.12437498,-0.422595515,-0.443508934,0.23813061,1
58:03.7,0.7016126,0.373004921,0.496950014,0.6318402,0.54901284,0.074393933,0.207662053,-0.022485405,0.12063281,0.328161306,0.063526494,0.30059266,-0.06263476,-0.108543399,0.021878145,0.20989461,-0.12437498,-0.442597328,-0.462280312,0.23813061,1
58:03.8,0.7016126,0.387538906,0.453801964,0.6318402,0.54901284,0.050695733,0.152655633,-0.022485405,0.12063281,0.307752532,-0.001585668,0.30059266,-0.06263476,-0.153699035,-0.009719746,0.20989461,-0.12437498,-0.468066675,-0.484805803,0.23813061,1
58:03.9,0.7016126,0.401639401,0.424834332,0.6318402,0.54901284,0.022224465,0.085949361,-0.022485405,0.12063281,0.294570309,-0.111110577,0.30059266,-0.06263476,-0.18229874,-0.05243112,0.20989461,-0.12437498,-0.485735439,-0.50173777,0.23813061,1
58:04.0,0.7016126,0.420479375,0.386239827,0.6318402,0.54901284,-0.013158972,-0.013548739,-0.022485405,0.12063281,0.281925456,-0.256375769,0.30059266,-0.06263476,-0.200157613,-0.104851347,0.20989461,-0.12437498,-0.492952582,-0.513248346,0.23813061,1
58:04.1,0.7016126,0.44581974,0.31547496,0.6318402,0.54901284,-0.04626251,-0.15800354,-0.022485405,0.12063281,0.2601009,-0.207127013,0.30059266,-0.06263476,-0.20993637,-0.15276557,0.20989461,-0.12437498,-0.48810837,-0.5218567,0.23813061,1
58:04.2,0.7016126,0.476443962,0.31547496,0.6318402,0.54901284,-0.058512334,-0.15800354,-0.022485405,0.12063281,0.235214747,-0.157878258,0.30059266,-0.06263476,-0.215015105,-0.15276557,0.20989461,-0.12437498,-0.47152168,-0.5218567,0.23813061,1
58:04.3,0.7016126,0.510786094,0.31547496,0.6318402,0.54901284,-0.052325587,-0.15800354,-0.022485405,0.12063281,0.228785536,-0.108629502,0.30059266,-0.06263476,-0.220132691,-0.15276557,0.20989461,-0.12437498,-0.446062625,-0.5218567,0.23813061,1
