,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
10:41.5,1.4071652,0.62580273,0.466989376,0.4855469,1.5149901,0.52688498,-0.082668707,0.4015036,0.96117264,0.265684083,0.041512877,0.19937114,0.84723413,0.069637622,-0.156436988,0.47177976,0.4202931,-0.418938557,-0.674653545,-0.013778237,0
10:41.6,0.671553065,0.826900817,0.440647974,0.136885609,0.706266312,0.565052291,-0.06159379,0.35742651,0.245270128,0.495101864,0.062011407,0.110244595,0.238917963,0.130405979,-0.159427729,0.275148623,-0.081127262,-0.433618668,-0.672126055,-0.011890544,0
10:41.7,0.391793963,0.923311667,0.36718629,0.011374923,0.39897348,0.592047807,-0.060700595,0.38250026,0.053311887,0.53606379,0.063489869,0.074384883,-0.023983233,0.1665833,-0.157075853,0.173143473,-0.299898737,-0.44048835,-0.668717933,-0.014871471,0
10:41.8,0.407031183,0.97095171,0.287920029,0.035357276,0.419380237,0.602243837,-0.053841683,0.429873744,0.136880338,0.5409528,0.062693446,0.077110482,-0.039622634,0.183490677,-0.151255878,0.147711858,-0.315203186,-0.44468841,-0.660880372,-0.032995902,0
10:41.9,0.401581186,0.980198581,0.210006011,0.060094833,0.416742925,0.592653684,-0.039437399,0.457485232,0.15666857,0.5409528,0.070818971,0.078786281,-0.047961041,0.181240755,-0.143296316,0.130682394,-0.323538487,-0.444236211,-0.649429289,-0.066969531,0
10:42.0,0.371772749,0.95926307,0.111146603,0.0850664,0.391913334,0.564961006,-0.031074213,0.466847014,0.156872638,0.5409528,0.097984565,0.082254655,-0.043918572,0.163119389,-0.135489566,0.1235497,-0.317700774,-0.43855691,-0.634916614,-0.11188338,0
10:42.1,0.36053542,0.9429794,0.078671163,0.097033015,0.37646255,0.54834702,-0.031241819,0.46431338,0.157056995,0.5409528,0.10236282,0.082841106,-0.038050992,0.15182256,-0.135974005,0.123183275,-0.30809757,-0.43544397,-0.628022065,-0.130254423,0
10:42.2,0.3537897,0.927800652,0.070703901,0.10907382,0.3646669,0.525951169,-0.029367005,0.457745027,0.15720534,0.5409528,0.113339953,0.082841106,-0.03314965,0.141238322,-0.14133239,0.12422366,-0.29979417,-0.43301257,-0.62150317,-0.144292661,0
10:42.3,0.3537897,0.923717686,0.15999211,0.12297076,0.3646669,0.486438751,-0.000356111,0.439049373,0.15720534,0.5409528,0.196328977,0.082841106,-0.03314965,0.13591148,-0.162386089,0.131760584,-0.29979417,-0.435075433,-0.618211571,-0.140233871,0
10:42.4,0.3537897,0.944316547,0.234683317,0.13042572,0.3646669,0.459642066,0.034724829,0.42755347,0.15720534,0.549126133,0.2666094,0.082841106,-0.03314965,0.137054889,-0.189958738,0.13829127,-0.29979417,-0.443979761,-0.625492894,-0.13028258,0
