# co2a0000447.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 1
# FP1 chan 0
1 FP1 0 -1.546
1 FP1 1 3.825
1 FP1 2 6.755
1 FP1 3 6.266
1 FP1 4 3.337
1 FP1 5 0.895
1 FP1 6 -0.081
1 FP1 7 1.383
1 FP1 8 4.313
1 FP1 9 7.243
1 FP1 10 10.173
1 FP1 11 12.126
1 FP1 12 11.637
1 FP1 13 9.684
1 FP1 14 6.266
1 FP1 15 2.360
1 FP1 16 -0.570
1 FP1 17 -1.546
1 FP1 18 -1.058
1 FP1 19 0.407
1 FP1 20 1.383
1 FP1 21 2.848
1 FP1 22 4.313
1 FP1 23 7.243
1 FP1 24 9.684
1 FP1 25 11.637
1 FP1 26 11.149
1 FP1 27 9.684
1 FP1 28 7.731
1 FP1 29 7.243
1 FP1 30 8.219
1 FP1 31 10.173
1 FP1 32 11.149
1 FP1 33 9.196
1 FP1 34 5.290
1 FP1 35 0.407
1 FP1 36 -1.546
1 FP1 37 0.407
1 FP1 38 5.290
1 FP1 39 9.196
1 FP1 40 10.661
1 FP1 41 9.684
1 FP1 42 7.243
1 FP1 43 5.290
1 FP1 44 5.778
1 FP1 45 6.755
1 FP1 46 7.243
1 FP1 47 7.243
1 FP1 48 6.266
1 FP1 49 6.266
1 FP1 50 7.243
1 FP1 51 8.219
1 FP1 52 7.731
1 FP1 53 4.801
1 FP1 54 0.407
1 FP1 55 -3.499
1 FP1 56 -5.452
1 FP1 57 -4.476
1 FP1 58 -2.035
1 FP1 59 -0.570
1 FP1 60 -0.081
1 FP1 61 -1.546
1 FP1 62 -3.011
1 FP1 63 -3.988
1 FP1 64 -4.476
1 FP1 65 -4.476
1 FP1 66 -3.988
1 FP1 67 -3.011
1 FP1 68 -1.058
1 FP1 69 2.848
1 FP1 70 6.755
1 FP1 71 11.149
1 FP1 72 14.079
1 FP1 73 14.567
1 FP1 74 12.614
1 FP1 75 8.708
1 FP1 76 5.290
1 FP1 77 2.360
1 FP1 78 1.872
1 FP1 79 3.337
1 FP1 80 5.290
1 FP1 81 7.243
1 FP1 82 6.755
1 FP1 83 4.801
1 FP1 84 0.895
1 FP1 85 -2.523
1 FP1 86 -4.476
1 FP1 87 -4.476
1 FP1 88 -2.523
1 FP1 89 -0.081
1 FP1 90 3.337
1 FP1 91 6.755
1 FP1 92 8.708
1 FP1 93 9.196
1 FP1 94 7.243
1 FP1 95 4.313
1 FP1 96 0.895
1 FP1 97 -0.570
1 FP1 98 -1.058
1 FP1 99 -1.546
1 FP1 100 -2.035
1 FP1 101 -3.011
1 FP1 102 -3.988
1 FP1 103 -3.499
1 FP1 104 -2.523
1 FP1 105 -2.035
1 FP1 106 -2.523
1 FP1 107 -5.452
1 FP1 108 -8.870
1 FP1 109 -10.335
1 FP1 110 -9.359
1 FP1 111 -5.452
1 FP1 112 -1.058
1 FP1 113 2.848
1 FP1 114 5.290
1 FP1 115 5.778
1 FP1 116 4.801
1 FP1 117 3.337
1 FP1 118 1.872
1 FP1 119 0.895
1 FP1 120 0.407
1 FP1 121 -0.081
1 FP1 122 -0.570
1 FP1 123 -1.546
1 FP1 124 -2.523
1 FP1 125 -3.011
1 FP1 126 -2.523
1 FP1 127 -2.035
1 FP1 128 -1.546
1 FP1 129 -3.011
1 FP1 130 -4.476
1 FP1 131 -6.429
1 FP1 132 -6.917
