# co2c0000388.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 1
# FP1 chan 0
1 FP1 0 4.018
1 FP1 1 1.577
1 FP1 2 -0.865
1 FP1 3 -2.330
1 FP1 4 -2.330
1 FP1 5 -2.330
1 FP1 6 -1.841
1 FP1 7 -1.353
1 FP1 8 0.112
1 FP1 9 3.530
1 FP1 10 6.948
1 FP1 11 9.389
1 FP1 12 8.901
1 FP1 13 5.971
1 FP1 14 1.577
1 FP1 15 -1.353
1 FP1 16 -2.818
1 FP1 17 -2.330
1 FP1 18 -1.841
1 FP1 19 -1.841
1 FP1 20 -3.794
1 FP1 21 -5.747
1 FP1 22 -8.189
1 FP1 23 -10.142
1 FP1 24 -11.607
1 FP1 25 -13.072
1 FP1 26 -13.560
1 FP1 27 -12.583
1 FP1 28 -9.654
1 FP1 29 -5.747
1 FP1 30 -2.330
1 FP1 31 0.112
1 FP1 32 1.577
1 FP1 33 2.553
1 FP1 34 3.530
1 FP1 35 4.506
1 FP1 36 5.483
1 FP1 37 5.483
1 FP1 38 5.971
1 FP1 39 6.460
1 FP1 40 8.413
1 FP1 41 10.366
1 FP1 42 12.319
1 FP1 43 12.807
1 FP1 44 12.319
1 FP1 45 10.854
1 FP1 46 9.878
1 FP1 47 8.901
1 FP1 48 7.924
1 FP1 49 6.460
1 FP1 50 4.995
1 FP1 51 3.530
1 FP1 52 3.042
1 FP1 53 3.530
1 FP1 54 4.506
1 FP1 55 6.460
1 FP1 56 7.924
1 FP1 57 9.389
1 FP1 58 8.901
1 FP1 59 7.924
1 FP1 60 6.948
1 FP1 61 5.971
1 FP1 62 4.995
1 FP1 63 4.506
1 FP1 64 4.018
1 FP1 65 3.530
1 FP1 66 3.042
1 FP1 67 2.065
1 FP1 68 1.088
1 FP1 69 0.112
1 FP1 70 0.112
1 FP1 71 1.088
1 FP1 72 4.018
1 FP1 73 6.948
1 FP1 74 10.366
1 FP1 75 10.854
1 FP1 76 8.901
1 FP1 77 5.971
1 FP1 78 3.530
1 FP1 79 2.553
1 FP1 80 4.506
1 FP1 81 6.948
1 FP1 82 8.901
1 FP1 83 9.389
1 FP1 84 8.413
1 FP1 85 6.948
1 FP1 86 4.995
1 FP1 87 4.018
1 FP1 88 3.042
1 FP1 89 2.065
1 FP1 90 2.065
1 FP1 91 2.553
1 FP1 92 4.506
1 FP1 93 6.948
1 FP1 94 7.924
1 FP1 95 7.436
1 FP1 96 5.971
1 FP1 97 4.506
1 FP1 98 3.530
1 FP1 99 3.042
1 FP1 100 2.553
1 FP1 101 2.553
1 FP1 102 2.065
1 FP1 103 1.577
1 FP1 104 2.065
1 FP1 105 3.042
1 FP1 106 4.018
1 FP1 107 4.995
1 FP1 108 5.483
1 FP1 109 4.995
1 FP1 110 5.971
1 FP1 111 7.436
1 FP1 112 10.366
1 FP1 113 12.807
1 FP1 114 14.760
1 FP1 115 15.249
1 FP1 116 15.249
1 FP1 117 14.272
1 FP1 118 12.319
1 FP1 119 10.366
1 FP1 120 6.948
1 FP1 121 4.506
1 FP1 122 2.065
1 FP1 123 1.577
1 FP1 124 2.553
1 FP1 125 3.530
1 FP1 126 4.018
1 FP1 127 4.018
1 FP1 128 4.018
1 FP1 129 4.018
1 FP1 130 4.995
1 FP1 131 5.971
1 FP1 132 5.971
1 FP1 133 5.971
1 FP1 134 6.460
1 FP1 135 7.436
1 FP1 136 8.413
1 FP1 137 9.389
1 FP1 138 7.924
1 FP1 139 5.971
1 FP1 140 3.530
1 FP1 141 2.065
1 FP1 142 2.065
1 FP1 143 4.506
1 FP1 144 6.460
1 FP1 145 8.901
1 FP1 146 9.878
1 FP1 147 10.366
1 FP1 148 11.342
1 FP1 149 11.342
1 FP1 150 11.831
1 FP1 151 10.854
1 FP1 152 9.389
1 FP1 153 8.413
1 FP1 154 8.413
1 FP1 155 9.389
1 FP1 156 10.854
1 FP1 157 11.831
1 FP1 158 11.342
1 FP1 159 10.366
1 FP1 160 10.366
1 FP1 161 10.854
1 FP1 162 11.342
1 FP1 163 11.342
1 FP1 164 10.366
1 FP1 165 8.413
1 FP1 166 6.948
1 FP1 167 5.971
1 FP1 168 5.483
1 FP1 169 4.506
1 FP1 170 3.042
1 FP1 171 1.088
1 FP1 172 0.112
1 FP1 173 0.600
1 FP1 174 0.600
1 FP1 175 0.600
1 FP1 176 -0.376
1 FP1 177 -2.818
1 FP1 178 -4.283
1 FP1 179 -4.771
1 FP1 180 -2.818
1 FP1 181 0.600
1 FP1 182 3.530
1 FP1 183 4.995
1 FP1 184 4.995
1 FP1 185 4.018
1 FP1 186 3.042
1 FP1 187 3.530
1 FP1 188 4.995
1 FP1 189 6.460
1 FP1 190 6.460
1 FP1 191 4.995
1 FP1 192 2.065
1 FP1 193 -0.376
1 FP1 194 -1.353
1 FP1 195 -0.865
1 FP1 196 1.088
1 FP1 197 3.530
1 FP1 198 4.995
1 FP1 199 5.483
1 FP1 200 4.506
1 FP1 201 3.530
1 FP1 202 2.553
1 FP1 203 2.553
1 FP1 204 2.553
1 FP1 205 2.065
1 FP1 206 2.065
1 FP1 207 1.088
1 FP1 208 0.112
1 FP1 209 -1.353
1 FP1 210 -2.818
1 FP1 211 -4.283
1 FP1 212 -5.259
1 FP1 213 -4.771
1 FP1 214 -4.771
1 FP1 215 -4.283
1 FP1 216 -4.283
1 FP1 217 -4.283
1 FP1 218 -3.306
1 FP1 219 -2.818
1 FP1 220 -2.818
1 FP1 221 -3.794
1 FP1 222 -5.747
1 FP1 223 -6.724
1 FP1 224 -6.236
1 FP1 225 -4.283
1 FP1 226 -0.865
1 FP1 227 2.553
1 FP1 228 4.506
1 FP1 229 5.971
1 FP1 230 5.971
1 FP1 231 6.460
1 FP1 232 6.948
1 FP1 233 7.924
1 FP1 234 8.413
1 FP1 235 7.924
1 FP1 236 6.460
1 FP1 237 3.530
1 FP1 238 2.065
1 FP1 239 1.088
1 FP1 240 2.553
1 FP1 241 4.506
1 FP1 242 6.948
1 FP1 243 7.924
1 FP1 244 6.948
1 FP1 245 4.506
1 FP1 246 0.112
1 FP1 247 -4.283
1 FP1 248 -7.701
1 FP1 249 -10.142
1 FP1 250 -10.142
1 FP1 251 -8.677
1 FP1 252 -6.724
1 FP1 253 -4.283
1 FP1 254 -1.841
1 FP1 255 1.088
# FP2 chan 1
1 FP2 0 1.617
1 FP2 1 -0.336
1 FP2 2 -1.801
1 FP2 3 -2.777
1 FP2 4 -3.265
1 FP2 5 -2.777
1 FP2 6 -2.289
1 FP2 7 -1.312
1 FP2 8 1.129
1 FP2 9 5.035
1 FP2 10 8.942
1 FP2 11 10.895
1 FP2 12 9.918
1 FP2 13 5.524
1 FP2 14 0.641
1 FP2 15 -3.265
1 FP2 16 -4.242
1 FP2 17 -4.242
1 FP2 18 -4.242
1 FP2 19 -5.707
1 FP2 20 -7.660
1 FP2 21 -9.613
1 FP2 22 -10.590
1 FP2 23 -11.566
1 FP2 24 -12.054
1 FP2 25 -13.031
1 FP2 26 -13.519
1 FP2 27 -12.543
1 FP2 28 -10.101
1 FP2 29 -7.172
1 FP2 30 -4.242
1 FP2 31 -2.289
1 FP2 32 -1.801
1 FP2 33 -0.824
1 FP2 34 0.153
1 FP2 35 1.617
1 FP2 36 2.594
1 FP2 37 2.594
1 FP2 38 2.594
1 FP2 39 2.594
1 FP2 40 4.059
1 FP2 41 5.524
1 FP2 42 7.477
1 FP2 43 8.453
1 FP2 44 8.453
1 FP2 45 8.453
1 FP2 46 7.477
1 FP2 47 6.989
1 FP2 48 5.524
1 FP2 49 3.571
1 FP2 50 1.617
1 FP2 51 -0.336
1 FP2 52 -1.312
1 FP2 53 -0.824
1 FP2 54 1.129
1 FP2 55 3.571
1 FP2 56 5.524
1 FP2 57 6.500
1 FP2 58 6.989
1 FP2 59 6.012
1 FP2 60 5.035
1 FP2 61 4.059
1 FP2 62 3.571
1 FP2 63 3.082
1 FP2 64 2.594
1 FP2 65 2.594
1 FP2 66 2.594
1 FP2 67 2.106
1 FP2 68 1.617
1 FP2 69 1.129
1 FP2 70 1.617
1 FP2 71 3.082
1 FP2 72 6.989
1 FP2 73 11.383
1 FP2 74 14.801
1 FP2 75 15.778
1 FP2 76 13.824
1 FP2 77 10.406
1 FP2 78 7.477
1 FP2 79 6.012
1 FP2 80 7.477
1 FP2 81 8.942
1 FP2 82 10.406
1 FP2 83 9.918
1 FP2 84 7.965
1 FP2 85 5.524
1 FP2 86 2.594
1 FP2 87 1.129
1 FP2 88 -1.312
1 FP2 89 -2.289
1 FP2 90 -2.777
1 FP2 91 -1.312
1 FP2 92 0.641
1 FP2 93 3.082
1 FP2 94 4.547
1 FP2 95 4.547
1 FP2 96 3.082
1 FP2 97 2.106
1 FP2 98 2.106
1 FP2 99 2.594
1 FP2 100 3.082
1 FP2 101 3.082
1 FP2 102 2.594
1 FP2 103 2.106
1 FP2 104 2.594
1 FP2 105 4.059
1 FP2 106 5.035
1 FP2 107 5.524
1 FP2 108 6.012
1 FP2 109 6.012
1 FP2 110 6.500
1 FP2 111 7.965
1 FP2 112 9.918
1 FP2 113 11.871
1 FP2 114 13.336
1 FP2 115 13.824
1 FP2 116 12.848
1 FP2 117 11.871
1 FP2 118 10.895
1 FP2 119 8.942
1 FP2 120 6.989
1 FP2 121 4.547
1 FP2 122 2.594
1 FP2 123 1.617
1 FP2 124 1.129
1 FP2 125 1.617
1 FP2 126 1.617
1 FP2 127 1.617
1 FP2 128 1.617
1 FP2 129 2.106
1 FP2 130 3.571
1 FP2 131 4.547
1 FP2 132 5.035
1 FP2 133 5.035
1 FP2 134 5.524
1 FP2 135 6.500
1 FP2 136 8.453
1 FP2 137 9.918
1 FP2 138 9.918
1 FP2 139 8.453
1 FP2 140 5.524
1 FP2 141 3.082
1 FP2 142 2.106
1 FP2 143 3.082
1 FP2 144 5.524
1 FP2 145 7.965
1 FP2 146 9.918
1 FP2 147 10.895
1 FP2 148 11.383
1 FP2 149 11.871
1 FP2 150 11.871
1 FP2 151 11.871
1 FP2 152 11.383
1 FP2 153 10.406
1 FP2 154 10.406
1 FP2 155 10.895
1 FP2 156 11.871
1 FP2 157 12.848
1 FP2 158 12.360
1 FP2 159 11.871
1 FP2 160 11.383
1 FP2 161 11.383
1 FP2 162 11.871
1 FP2 163 11.871
1 FP2 164 10.406
1 FP2 165 7.477
1 FP2 166 4.547
1 FP2 167 2.106
1 FP2 168 0.641
1 FP2 169 -0.336
1 FP2 170 -0.824
1 FP2 171 -1.312
1 FP2 172 -1.312
1 FP2 173 -1.801
1 FP2 174 -1.312
1 FP2 175 -1.312
1 FP2 176 -2.289
1 FP2 177 -4.242
1 FP2 178 -6.195
1 FP2 179 -6.683
1 FP2 180 -5.219
1 FP2 181 -2.289
1 FP2 182 1.129
1 FP2 183 3.082
1 FP2 184 3.571
1 FP2 185 2.594
1 FP2 186 2.106
1 FP2 187 3.082
1 FP2 188 5.524
1 FP2 189 7.965
1 FP2 190 8.453
1 FP2 191 6.989
1 FP2 192 2.594
1 FP2 193 -0.824
1 FP2 194 -2.289
1 FP2 195 -1.801
1 FP2 196 0.641
1 FP2 197 3.571
1 FP2 198 5.035
1 FP2 199 5.524
1 FP2 200 4.547
1 FP2 201 3.571
1 FP2 202 3.082
1 FP2 203 2.106
1 FP2 204 1.617
1 FP2 205 1.129
1 FP2 206 1.617
1 FP2 207 1.617
1 FP2 208 1.617
1 FP2 209 0.641
1 FP2 210 -1.312
1 FP2 211 -2.777
1 FP2 212 -3.754
1 FP2 213 -3.754
1 FP2 214 -2.777
1 FP2 215 -2.289
1 FP2 216 -2.289
1 FP2 217 -2.289
1 FP2 218 -2.777
1 FP2 219 -2.289
1 FP2 220 -2.289
1 FP2 221 -2.777
1 FP2 222 -3.265
1 FP2 223 -3.265
1 FP2 224 -2.289
1 FP2 225 -0.824
1 FP2 226 1.617
1 FP2 227 3.571
1 FP2 228 4.547
1 FP2 229 5.524
1 FP2 230 6.012
1 FP2 231 6.989
1 FP2 232 7.965
1 FP2 233 9.430
1 FP2 234 9.918
1 FP2 235 9.430
1 FP2 236 6.989
1 FP2 237 4.547
1 FP2 238 2.594
1 FP2 239 3.082
1 FP2 240 4.547
1 FP2 241 6.989
1 FP2 242 8.942
1 FP2 243 9.918
1 FP2 244 8.942
1 FP2 245 6.500
1 FP2 246 3.082
1 FP2 247 -0.824
1 FP2 248 -4.730
1 FP2 249 -7.660
1 FP2 250 -9.125
1 FP2 251 -8.636
