,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y,label
0,4.069,3.693,2.36,5.666,2.716,1.414,4.476,2.513,2.37,4.364,2.116,1.119,-8.036,8.586,5.33,17.456,0.326,0.763,-0.254,1.424,0.6,1.302,-0.926,1.678,1.373,5.859,-3.337,1.099,0.437,-0.549,-1.231,5.463,2.441,4.628,2.37,4.038,1.536,5.147,3.947,-0.193,-1.221,4.862,0.692,0.448,-1.475,5.666,-2.482,1.851,0.041,0.092,-0.326,2.33,-1.546,0.285,-2.574,2.462,-1.455,0.519,-1.79,0.285,-0.264,0.397,0.702,0.956,1
1,2.604,2.228,0.895,3.225,1.74,0.437,3.988,1.048,1.882,1.923,1.628,1.119,-9.989,-8.016,2.401,14.526,1.302,-0.214,0.722,-0.041,0.6,1.79,0.051,1.678,2.35,5.371,-2.36,2.075,0.926,-0.061,0.722,3.998,0.977,3.164,1.394,2.574,1.048,2.706,2.482,-1.17,-0.732,0.468,1.18,-0.041,-2.94,4.201,-2.482,0.387,0.041,0.58,0.651,2.818,-0.57,-0.692,-1.109,3.438,-2.431,1.495,-0.326,1.261,0.224,0.885,0.214,0.468,1
2,0.163,0.275,-0.57,2.248,-0.214,-1.027,3.011,0.071,0.417,-0.519,0.651,1.119,-10.478,-20.711,-2.482,9.155,0.814,-0.702,-0.254,-1.017,0.6,2.279,0.051,2.655,3.326,4.883,-1.383,3.052,1.414,0.427,1.699,2.533,-0.488,1.211,-1.048,1.109,0.559,0.753,0.529,-2.635,-1.221,-2.462,-0.285,-1.017,-3.916,2.248,-2.482,-1.567,-1.424,1.556,0.163,3.794,-0.57,-0.692,-0.621,4.415,-2.431,1.984,0.163,1.75,0.712,0.397,-1.74,-1.973,1
3,-3.255,-1.19,-1.058,1.76,-2.167,-2.004,2.035,-1.394,-1.048,-1.495,-0.814,1.119,-9.501,-24.129,-6.388,2.808,-0.651,-0.702,-1.231,-0.529,-0.376,2.767,-0.926,2.655,3.815,4.883,-1.383,3.052,0.437,0.427,1.211,1.068,-2.441,-0.254,-3.977,0.132,0.071,-0.224,-0.936,-4.1,-2.197,-3.927,-2.238,-1.994,-4.405,0.295,-1.506,-3.031,-2.889,1.556,-0.814,3.794,-1.058,-0.692,-1.597,4.415,-2.431,1.984,-0.326,1.75,-0.264,0.397,-4.181,-3.927,1
4,-5.697,-2.655,-1.058,1.272,-3.143,-2.492,1.546,-2.37,-2.024,-1.984,-1.79,1.119,-7.548,-18.758,-6.877,-1.587,-2.116,-0.702,-2.696,-0.041,-1.353,2.767,-2.391,2.655,3.815,4.883,-3.337,2.563,-1.516,0.427,-0.254,-0.885,-3.906,-1.231,-5.931,-0.844,0.559,-0.224,-2.401,-4.588,-3.174,-3.438,-3.215,-2.97,-4.405,-0.193,-1.994,-4.008,-3.377,1.068,-3.255,3.306,-1.546,-0.203,-3.55,3.927,-2.431,1.007,-1.79,1.75,-1.241,-0.092,-5.646,-5.88,1
5,-6.673,-3.632,-0.57,0.295,-4.12,-2.492,1.058,-3.347,-2.024,-2.472,-2.279,1.119,-6.571,-8.993,-3.459,-3.052,-2.604,-0.702,-3.672,-0.041,-1.841,1.79,-4.344,1.678,3.326,3.906,-6.266,1.587,-3.469,-0.061,-2.207,-2.838,-4.883,-2.207,-6.907,-1.821,1.536,-0.224,-3.866,-4.588,-4.15,-2.462,-3.215,-3.459,-4.405,0.295,-3.459,-4.496,-3.377,-0.885,-4.72,2.33,-2.035,0.285,-5.992,2.462,-2.431,-0.458,-2.767,0.285,-2.218,-0.092,-7.111,-7.345,1
6,-7.65,-5.096,-1.058,-2.146,-4.608,-2.492,0.57,-3.835,-2.024,-2.96,-2.767,0.631,-6.083,-2.157,-0.041,-1.587,-2.604,-1.19,-3.672,-0.529,-1.841,0.814,-5.32,0.214,1.373,1.953,-8.708,-0.366,-4.934,-1.526,-4.161,-4.303,-5.859,-3.184,-6.907,-3.286,1.048,-0.224,-5.33,-4.1,-4.15,-2.462,-2.238,-4.435,-4.405,0.295,-5.412,-4.496,-2.889,-2.838,-5.697,0.865,-2.035,0.285,-6.968,0.997,-1.943,-1.923,-4.232,-1.18,-3.194,-0.58,-8.575,-8.321,1
7,-8.626,-6.073,-1.546,-5.564,-5.096,-2.981,0.081,-4.323,-2.024,-3.937,-3.255,0.631,-6.571,-0.692,0.936,1.343,-2.116,-2.655,-3.672,-2.482,-1.841,-0.651,-5.809,-1.74,0.397,0.0,-9.196,-1.831,-5.422,-4.456,-6.114,-4.303,-6.348,-3.672,-6.419,-5.239,-0.417,-0.712,-6.307,-3.611,-3.662,-3.438,-1.261,-4.435,-4.405,-0.193,-6.388,-4.985,-2.401,-4.303,-4.72,-0.6,-1.546,-0.203,-5.992,-0.468,-1.943,-3.387,-5.208,-3.133,-3.682,-0.58,-9.552,-9.786,1
8,-9.603,-5.585,-2.523,-8.494,-5.096,-2.981,-0.407,-3.835,-2.024,-4.425,-3.255,1.607,-6.571,-2.645,-1.506,4.272,-1.139,-3.632,-3.184,-3.947,-1.353,-1.628,-4.832,-3.204,-1.068,-1.465,-6.755,-3.296,-5.91,-6.409,-7.09,-2.35,-6.348,-4.161,-5.931,-5.727,-4.323,-1.2,-5.819,-2.635,-3.174,-4.415,-1.261,-3.947,-3.916,-2.146,-5.412,-4.496,-1.424,-5.28,-3.255,-1.577,-1.058,-1.18,-5.015,-0.956,-1.943,-4.364,-6.185,-4.598,-3.682,-1.068,-10.04,-9.786,1
9,-9.603,-4.12,-2.035,-9.959,-4.12,-2.981,0.57,-2.858,-1.536,-3.937,-3.255,2.584,-6.083,-3.621,-5.9,7.202,-1.139,-3.632,-2.207,-4.924,-0.865,-1.628,-3.855,-3.693,-1.068,-1.953,-3.337,-3.784,-5.422,-7.385,-8.067,0.58,-5.371,-4.161,-5.931,-5.727,-7.741,-1.689,-4.354,-1.17,-2.197,-3.927,-1.75,-3.459,-2.94,-4.588,-2.97,-4.008,-0.936,-5.768,-2.279,-2.065,-1.058,-1.668,-4.038,-0.956,-1.943,-4.364,-7.161,-5.086,-3.194,-1.068,-8.087,-8.321,1
